name,platform,global_sales,critic_score,critic_count,user_score,user_count
Bleach: Heat the Soul,PSP,0.09,,,,
Bleach: Heat the Soul 3,PSP,0.07,,,,
Bleach: Heat the Soul 4,PSP,0.08,,,,
Bleach: Heat the Soul 5,PSP,0.08,,,,
Bleach: Heat the Soul 6,PSP,0.09,,,,
Bleach: Heat the Soul 7,PSP,0.08,,,,
Bleach: Shattered Blade,Wii,0.31,58,30,7.4,21
Bleach: Soul Carnival,PSP,0.05,,,,
Bleach: Soul Carnival 2,PSP,0.03,,,,
Bleach: Soul Resurreccion,PS3,0.44,58,34,7.3,30
Bleach: Versus Crusade,Wii,0.06,,,,
Blitz: Overtime,PSP,0.09,,,7.5,4
Blitz: The League,X360,0.15,69,23,6.5,11
Blitz: The League II,PS3,0.12,62,25,7.3,12
Blitz: The League II,X360,0.09,68,34,6.8,9
Block Party,Wii,0.15,,,2.8,4
Blokus Portable: Steambot Championship,PSP,0.03,51,5,,
Blood Bowl,X360,0.14,61,28,5.5,17
Blood Drive,X360,0.1,40,21,5.9,7
Blood Drive,PS3,0.06,47,11,,
Blue Dragon,X360,0.88,79,56,7.8,128
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,0.04,,,,
Blur,PS3,0.64,81,58,8.2,68
Blur,X360,0.55,82,78,8.4,145
Bob the Builder: Festival of Fun,Wii,0.01,,,,
Body and Brain Connection,X360,0.17,57,33,,
Bodycount,PS3,0.08,50,40,3.6,23
Bodycount,X360,0.08,53,61,4.6,63
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougenâ€‹,PS3,0.08,,,,
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,0.19,,,,
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,0.07,,,,
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP,0.1,,,,
Bolt,Wii,0.56,50,4,,
Bolt,X360,0.23,57,18,7.3,6
Bolt,PS3,0.18,59,11,,
Bomberman,PSP,0.15,73,30,5.8,4
Bomberman,Wii,0.01,,,,
Bomberman (jp sales),PSP,0.01,,,,
Bomberman Land,Wii,0.16,57,23,7.1,7
Bomberman Land,PSP,0.06,55,14,,
Bomberman: Act Zero,X360,0.04,34,41,2.2,34
Boogie,Wii,0.46,57,37,5.3,54
Boogie SuperStar,Wii,0.23,,,8.6,14
Book of Spells,PS3,0.52,,,,
